Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,,,,,Dist Met,Dist Inv,,,Year Diff,Comp Fact,cmp msr
27,a,a,60,1,2005,1,5,2011,"Jan,Apr,Jul,Oct",-0.707097049,,,,0.000263783,0.999736217,,,11,10.99709839,0.095495297
28,a,a,1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",-0.554335585,,,,0.015299393,0.984700607,,,2,1.969401213,0.017101652
29,d,c,2170,,2009,0,,,,-0.42435434,,,,0.028092851,0.971907149,,,7,6.80335004,0.059078123
30,a,a,40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec",-0.709777074,,,,0,1,,,2,2,0.017367363
31,d,c,9800,7,2012,0,,,,0.598075453,,,,0.12872593,0.87127407,,,4,3.485096281,0.030263465
32,a,a,2910,,2009,1,45,2009,"Feb,May,Aug,Nov",-0.325193391,,,,0.037852809,0.962147191,,,7,6.735030335,0.058484857
33,a,c,1320,5,2013,0,,,,-0.538255431,,,,0.016882089,0.983117911,,,3,2.949353733,0.025611248
34,c,a,2240,9,2009,0,,,,-0.414974251,,,,0.029016091,0.970983909,,,7,6.796887365,0.059022004
35,d,c,7660,10,2000,1,1,2012,"Jan,Apr,Jul,Oct",0.311312706,,,,0.100501187,0.899498813,,,16,14.39198101,0.124975376
36,a,c,540,6,2003,1,40,2014,"Jan,Apr,Jul,Oct",-0.642776433,,,,0.006594566,0.993405434,,,13,12.91427064,0.11214341
37,c,a,4230,12,2014,0,,,,-0.148311696,,,,0.055262464,0.944737536,,,2,1.889475073,0.016407599
38,d,a,1090,4,2007,0,,,,-0.569075727,,,,0.013848589,0.986151411,,,9,8.875362701,0.077070821
39,a,a,260,10,2006,1,31,2013,"Feb,May,Aug,Nov",-0.680296792,,,,0.002901609,0.997098391,,,10,9.970983909,0.086584846
40,a,a,180,,2009,1,45,2009,"Feb,May,Aug,Nov",-0.691016895,,,,0.001846479,0.998153521,,,7,6.98707465,0.060673529
41,d,c,1180,,2009,1,31,2013,"Jan,Apr,Jul,Oct",-0.557015611,,,,0.015035611,0.984964389,,,7,6.894750725,0.059871818
42,a,c,290,,2009,1,40,2011,"Jan,Apr,Jul,Oct",-0.676276753,,,,0.003297283,0.996702717,,,7,6.976919019,0.060585341
43,d,a,4880,,2009,1,37,2009,"Jan,Apr,Jul,Oct",-0.061210862,,,,0.0638354,0.9361646,,,7,6.553152203,0.056905485
44,a,a,540,6,2011,0,,,,-0.642776433,,,,0.006594566,0.993405434,,,5,4.96702717,0.043132081
45,d,a,9710,2,2014,0,,,,0.586015337,,,,0.127538908,0.872461092,,,2,1.744922184,0.015152348
46,c,a,1200,9,2005,1,14,2011,"Jan,Apr,Jul,Oct",-0.554335585,,,,0.015299393,0.984700607,,,11,10.83170667,0.094059088
47,a,c,270,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",-0.678956779,,,,0.0030335,0.9969665,,,3,2.990899499,0.025972018
48,a,a,1060,5,2012,0,,,,-0.573095765,,,,0.013452915,0.986547085,,,4,3.946188341,0.034267442
49,d,c,18010,9,2007,0,,,,1.69822599,,,,0.237008705,0.762991295,,,9,6.866921657,0.059630159
50,d,a,6260,11,2009,0,,,,0.123710909,,,,0.082036402,0.917963598,,,7,6.425745186,0.055799123
51,a,c,10570,7,2013,1,9,2011,"Jan,Apr,Jul,Oct",0.701256441,,,,0.138881562,0.861118438,,,3,2.583355315,0.022433034
52,d,c,450,4,2014,1,39,2010,"Jan,Apr,Jul,Oct",-0.654836548,,,,0.005407544,0.994592456,,,2,1.989184912,0.017273448
53,a,c,30360,9,2013,0,,,,3.353141842,,,,0.399894487,0.600105513,,,3,1.800316539,0.015633375
54,d,c,7170,8,2014,1,5,2013,"Feb,May,Aug,Nov",0.245652077,,,,0.094038512,0.905961488,,,2,1.811922975,0.015734162
55,a,a,720,11,2004,0,,,,-0.618656202,,,,0.00896861,0.99103139,,,12,11.89237668,0.103269609
56,d,c,6620,3,2012,1,10,2014,"Mar,Jun,Sept,Dec",0.171951371,,,,0.08678449,0.91321551,,,4,3.652862042,0.03172029
57,d,c,420,6,2014,0,,,,-0.658856587,,,,0.00501187,0.99498813,,,2,1.98997626,0.01728032
58,a,c,7340,5,2008,1,27,2012,"Jan,Apr,Jul,Oct",0.268432295,,,,0.096280665,0.903719335,,,8,7.229754682,0.062780885
59,a,c,2840,6,2007,1,14,2011,"Jan,Apr,Jul,Oct",-0.334573481,,,,0.03692957,0.96307043,,,9,8.66763387,0.07526697
60,d,c,5540,10,2009,0,,,,0.027229985,,,,0.072540227,0.927459773,,,7,6.492218412,0.056376355
61,a,c,350,12,2007,1,1,2012,"Jan,Apr,Jul,Oct",-0.668236676,,,,0.004088631,0.995911369,,,9,8.963202321,0.077833592
62,a,a,2050,,2009,0,,,,-0.440434494,,,,0.026510156,0.973489844,,,7,6.814428911,0.059174329
63,c,c,3700,6,2010,1,18,2010,"Feb,May,Aug,Nov",-0.219332377,,,,0.048272224,0.951727776,,,6,5.710366658,0.049587004
64,d,c,22560,,2009,1,14,2013,"Jan,Apr,Jul,Oct",2.30793183,,,,0.297019256,0.702980744,,,7,4.920865207,0.042731225
65,a,c,13840,5,2010,1,1,2012,"Jan,Apr,Jul,Oct",1.139440638,,,,0.182010024,0.817989976,,,6,4.907939858,0.042618985
66,d,a,7660,,2009,1,37,2009,"Jan,Apr,Jul,Oct",0.311312706,,,,0.100501187,0.899498813,,,7,6.296491691,0.054676727
67,a,c,410,2,2006,0,,,,-0.660196599,,,,0.004879979,0.995120021,,,10,9.951200211,0.086413051
68,a,c,250,,2009,1,35,2012,"Mar,Jun,Sept,Dec",-0.681636805,,,,0.002769718,0.997230282,,,7,6.980611976,0.06061741
69,c,c,1130,,2009,1,40,2011,"Jan,Apr,Jul,Oct",-0.563715675,,,,0.014376154,0.985623846,,,7,6.899366922,0.059911903
70,c,c,4840,,2009,0,,,,-0.066570914,,,,0.063307834,0.936692166,,,7,6.55684516,0.056937554
71,a,a,17500,8,2008,1,37,2009,"Mar,Jun,Sept,Dec",1.629885336,,,,0.230282247,0.769717753,,,8,6.157742021,0.053471869
72,a,a,2200,12,2009,1,13,2010,"Jan,Apr,Jul,Oct",-0.420334302,,,,0.028488525,0.971511475,,,7,6.800580322,0.059054072
73,a,c,1650,9,2008,0,,,,-0.494035008,,,,0.021234503,0.978765497,,,8,7.830123978,0.067994301
74,a,a,330,,2009,0,,,,-0.670916702,,,,0.003824848,0.996175152,,,7,6.973226062,0.060553273
75,d,c,22440,12,2013,0,,,,2.291851676,,,,0.29543656,0.70456344,,,3,2.113690319,0.018354613
76,d,c,19960,3,2006,0,,,,1.959528493,,,,0.262727513,0.737272487,,,10,7.372724875,0.064022393
77,d,c,1090,8,2009,1,10,2014,"Jan,Apr,Jul,Oct",-0.569075727,,,,0.013848589,0.986151411,,,7,6.903059879,0.059943972
78,a,a,3510,11,2006,1,5,2013,"Feb,May,Aug,Nov",-0.244792621,,,,0.045766289,0.954233711,,,10,9.542337114,0.082862614
79,a,a,3320,,2009,0,,,,-0.270252864,,,,0.043260353,0.956739647,,,7,6.697177526,0.058156155
80,d,a,7910,,2009,0,,,,0.344813027,,,,0.10379847,0.89620153,,,7,6.27341071,0.054476299
81,a,a,2370,3,2011,1,40,2014,"Jan,Apr,Jul,Oct",-0.397554084,,,,0.030730678,0.969269322,,,5,4.84634661,0.042084129
82,a,a,22390,4,2008,1,37,2009,"Jan,Apr,Jul,Oct",2.285151612,,,,0.294777104,0.705222896,,,8,5.641783171,0.048991447
83,a,a,2710,,2009,0,,,,-0.351993647,,,,0.035214983,0.964785017,,,7,6.75349512,0.058645199
84,a,c,11810,8,2014,0,,,,0.867418033,,,,0.155236085,0.844763915,,,2,1.689527829,0.014671321
85,b,a,1870,10,2011,0,,,,-0.464554726,,,,0.024136112,0.975863888,,,5,4.879319441,0.042370455
86,a,a,480,2,2005,1,31,2013,"Jan,Apr,Jul,Oct",-0.65081651,,,,0.005803218,0.994196782,,,11,10.9361646,0.094966168
87,a,a,560,12,2010,0,,,,-0.640096407,,,,0.006858349,0.993141651,,,6,5.958849908,0.051744753
88,a,a,10690,10,2005,0,,,,0.717336595,,,,0.140464257,0.859535743,,,11,9.454893168,0.082103279
89,a,a,2380,7,2004,1,40,2014,"Jan,Apr,Jul,Oct",-0.396214071,,,,0.030862569,0.969137431,,,12,11.62964917,0.100988167
90,a,a,330,11,2007,0,,,,-0.670916702,,,,0.003824848,0.996175152,,,9,8.965576365,0.077854208
91,c,a,2410,,2009,1,35,2011,"Jan,Apr,Jul,Oct",-0.392194032,,,,0.031258243,0.968741757,,,7,6.781192298,0.058885713
92,c,a,240,,2009,1,45,2009,"Feb,May,Aug,Nov",-0.682976818,,,,0.002637826,0.997362174,,,7,6.981535215,0.060625427
93,a,a,16690,,2009,1,14,2011,"Jan,Apr,Jul,Oct",1.521344296,,,,0.21959905,0.78040095,,,7,5.462806647,0.047437272
94,d,c,14620,,2009,0,,,,1.243961639,,,,0.192297547,0.807702453,,,7,5.653917172,0.049096815
95,a,a,1890,10,2014,0,,,,-0.4618747,,,,0.024399894,0.975600106,,,2,1.951200211,0.016943601
96,a,a,8780,2,2005,1,37,2009,"Jan,Apr,Jul,Oct",0.461394144,,,,0.115273015,0.884726985,,,11,9.731996835,0.084509559
97,d,c,8980,,2009,0,,,,0.4881944,,,,0.117910841,0.882089159,,,7,6.17462411,0.053618468
98,d,c,15140,12,2006,1,1,2012,"Jan,Apr,Jul,Oct",1.313642307,,,,0.199155896,0.800844104,,,10,8.008441045,0.06954275
99,c,c,2030,11,2003,1,22,2012,"Mar,Jun,Sept,Dec",-0.44311452,,,,0.026246373,0.973753627,,,13,12.65879715,0.10992496
100,d,a,17930,,2009,0,,,,1.687505888,,,,0.235953574,0.764046426,,,7,5.34832498,0.046443149
101,d,c,2440,,2009,1,22,2012,"Mar,Jun,Sept,Dec",-0.388173994,,,,0.031653917,0.968346083,,,7,6.77842258,0.058861661
102,a,a,150,12,2007,1,10,2014,"Mar,Jun,Sept,Dec",-0.695036933,,,,0.001450805,0.998549195,,,9,8.986942759,0.078039747
103,d,c,5210,5,2015,0,,,,-0.016990439,,,,0.068187813,0.931812187,,,1,0.931812187,0.00809156
104,a,a,390,6,2009,0,,,,-0.662876625,,,,0.004616196,0.995383804,,,7,6.967686626,0.06050517
105,a,c,6190,,2009,1,23,2013,"Mar,Jun,Sept,Dec",0.114330819,,,,0.081113163,0.918886837,,,7,6.432207861,0.055855243
106,a,a,1390,8,2013,0,,,,-0.528875342,,,,0.017805328,0.982194672,,,3,2.946584015,0.025587196
107,a,a,1930,9,2009,0,,,,-0.456514649,,,,0.02492746,0.97507254,,,7,6.825507782,0.059270534
108,d,c,2190,9,2003,0,,,,-0.421674315,,,,0.028356634,0.971643366,,,13,12.63136376,0.109686737
109,a,c,3300,11,2010,0,,,,-0.27293289,,,,0.042996571,0.957003429,,,6,5.742020575,0.049861877
110,a,c,46590,4,2013,0,,,,5.527982673,,,,0.613954102,0.386045898,,,3,1.158137695,0.010056899
111,d,c,7890,,2009,1,37,2009,"Jan,Apr,Jul,Oct",0.342133001,,,,0.103534687,0.896465313,,,7,6.275257188,0.054492333
112,a,a,1630,9,2009,0,,,,-0.496715034,,,,0.02097072,0.97902928,,,7,6.853204959,0.059511048
113,d,c,20930,11,1999,0,,,,2.089509738,,,,0.275520971,0.724479029,,,17,12.3161435,0.106949465
114,c,a,4510,,2009,1,48,2011,"Mar,Jun,Sept,Dec",-0.110791337,,,,0.058955421,0.941044579,,,7,6.587312055,0.057202118
115,d,c,5740,4,2007,1,40,2014,"Jan,Apr,Jul,Oct",0.054030242,,,,0.075178053,0.924821947,,,9,8.32339752,0.072277731
116,a,a,680,4,2013,0,,,,-0.624016253,,,,0.008441045,0.991558955,,,3,2.974676866,0.025831146
117,a,a,3450,9,2011,0,,,,-0.252832698,,,,0.044974941,0.955025059,,,5,4.775125297,0.041465666
118,d,c,3580,9,2012,0,,,,-0.235412531,,,,0.046689528,0.953310472,,,4,3.813241889,0.033112977
119,a,c,2100,2,2010,0,,,,-0.43373443,,,,0.027169612,0.972830388,,,6,5.836982327,0.050686494
120,d,a,2290,12,2014,1,37,2009,"Jan,Apr,Jul,Oct",-0.408274186,,,,0.029675547,0.970324453,,,2,1.940648905,0.016851977
121,a,a,3570,11,2009,1,36,2013,"Mar,Jun,Sept,Dec",-0.236752544,,,,0.046557637,0.953442363,,,7,6.674096544,0.057955727
122,a,c,58260,4,2013,0,,,,7.091777652,,,,0.767871274,0.232128726,,,3,0.696386178,0.006047196
123,a,a,16760,9,2011,0,,,,1.530724386,,,,0.22052229,0.77947771,,,5,3.897388552,0.03384368
124,a,a,1410,4,2003,0,,,,-0.526195316,,,,0.018069111,0.981930889,,,13,12.76510156,0.110848073
125,a,a,760,12,2005,0,,,,-0.61329615,,,,0.009496175,0.990503825,,,11,10.89554207,0.094613415
126,d,a,3370,10,2014,1,18,2011,"Feb,May,Aug,Nov",-0.2635528,,,,0.04391981,0.95608019,,,2,1.91216038,0.016604591
127,d,a,1350,12,2005,1,13,2010,"Jan,Apr,Jul,Oct",-0.534235393,,,,0.017277763,0.982722237,,,11,10.80994461,0.093870114
128,d,c,2000,,2009,1,1,2013,"Jan,Apr,Jul,Oct",-0.447134559,,,,0.025850699,0.974149301,,,7,6.819045107,0.059214414
129,a,a,2460,,2009,1,14,2011,"Jan,Apr,Jul,Oct",-0.385493968,,,,0.0319177,0.9680823,,,7,6.776576101,0.058845627
130,c,a,900,,2009,1,13,2010,"Jan,Apr,Jul,Oct",-0.594535971,,,,0.011342654,0.988657346,,,7,6.920601424,0.060096297
131,c,a,920,7,2015,0,,,,-0.591855945,,,,0.011606436,0.988393564,,,1,0.988393564,0.008582895
132,d,c,1040,,2009,1,27,2012,"Jan,Apr,Jul,Oct",-0.575775791,,,,0.013189132,0.986810868,,,7,6.907676075,0.059984057
133,a,a,270,8,2013,1,10,2014,"Mar,Jun,Sept,Dec",-0.678956779,,,,0.0030335,0.9969665,,,3,2.990899499,0.025972018
134,a,a,1200,9,2008,0,,,,-0.554335585,,,,0.015299393,0.984700607,,,8,7.877604854,0.06840661
135,d,a,5190,,2009,1,1,2013,"Jan,Apr,Jul,Oct",-0.019670464,,,,0.067924031,0.932075969,,,7,6.524531786,0.056656955
136,a,c,2200,12,2010,1,22,2012,"Feb,May,Aug,Nov",-0.420334302,,,,0.028488525,0.971511475,,,6,5.829068847,0.050617776
137,a,a,1730,7,2015,1,40,2014,"Jan,Apr,Jul,Oct",-0.483314905,,,,0.022289633,0.977710367,,,1,0.977710367,0.008490125
138,a,c,25360,10,2014,0,,,,2.683135424,,,,0.333948826,0.666051174,,,2,1.332102348,0.011567552
139,a,a,1700,1,2008,1,14,2011,"Jan,Apr,Jul,Oct",-0.487334944,,,,0.021893959,0.978106041,,,8,7.824848325,0.067948489
140,a,c,1090,7,2010,1,1,2013,"Jan,Apr,Jul,Oct",-0.569075727,,,,0.013848589,0.986151411,,,6,5.916908467,0.051380547
141,c,c,1540,,2009,1,22,2012,"Mar,Jun,Sept,Dec",-0.508775149,,,,0.019783698,0.980216302,,,7,6.861514112,0.059583202
142,a,a,1090,7,2002,0,,,,-0.569075727,,,,0.013848589,0.986151411,,,14,13.80611976,0.119887944
143,d,a,2930,12,2002,0,,,,-0.322513365,,,,0.038116592,0.961883408,,,14,13.46636771,0.116937645
144,a,c,16570,,2009,0,,,,1.505264142,,,,0.218016355,0.781983645,,,7,5.473885518,0.047533477
145,a,a,280,,2009,1,45,2009,"Feb,May,Aug,Nov",-0.677616766,,,,0.003165392,0.996834608,,,7,6.977842258,0.060593358
146,d,c,8050,10,1961,1,48,2012,"Jan,Apr,Jul,Oct",0.363573207,,,,0.105644949,0.894355051,,,55,49.18952783,0.427146182
147,d,c,8540,,2009,0,,,,0.429233835,,,,0.112107623,0.887892377,,,7,6.215246637,0.053971221
148,a,a,2090,12,2008,0,,,,-0.435074443,,,,0.027037721,0.972962279,,,8,7.783698233,0.067591155
149,d,a,2610,7,2006,1,14,2011,"Jan,Apr,Jul,Oct",-0.365393776,,,,0.03389607,0.96610393,,,10,9.661039304,0.083893386
150,c,c,31830,3,2010,0,,,,3.550123728,,,,0.419282511,0.580717489,,,6,3.484304933,0.030256594
151,d,c,4360,10,2005,0,,,,-0.13089153,,,,0.056977051,0.943022949,,,11,10.37325244,0.090078018
152,a,a,1780,,2009,0,,,,-0.476614841,,,,0.02294909,0.97705091,,,7,6.83935637,0.059390791
153,a,a,16240,10,2000,1,18,2011,"Feb,May,Aug,Nov",1.461043719,,,,0.213663941,0.786336059,,,16,12.58137695,0.109252667
154,d,c,16420,,2009,0,,,,1.48516395,,,,0.216037985,0.783962015,,,7,5.487734107,0.047653734
155,d,a,3050,,2009,1,35,2010,"Jan,Apr,Jul,Oct",-0.306433211,,,,0.039699288,0.960300712,,,7,6.722104985,0.058372617
156,a,a,2020,2,2011,1,14,2011,"Mar,Jun,Sept,Dec",-0.444454533,,,,0.026114482,0.973885518,,,5,4.869427592,0.042284557
157,a,c,2950,10,2004,0,,,,-0.319833339,,,,0.038380375,0.961619625,,,12,11.53943551,0.10020478
158,d,c,11840,,2009,1,31,2009,"Feb,May,Aug,Nov",0.871438071,,,,0.155631759,0.844368241,,,7,5.910577684,0.051325573
159,d,a,8530,3,2013,0,,,,0.427893823,,,,0.111975732,0.888024268,,,3,2.664072804,0.023133959
160,d,c,17110,11,2005,0,,,,1.577624835,,,,0.225138486,0.774861514,,,11,8.523476655,0.074015155
161,a,c,2970,3,2005,0,,,,-0.317153314,,,,0.038644157,0.961355843,,,11,10.57491427,0.091829185
162,d,c,5340,3,2012,1,13,2010,"Jan,Apr,Jul,Oct",0.000429728,,,,0.0699024,0.9300976,,,4,3.720390398,0.032306684
163,a,a,1480,4,2009,0,,,,-0.516815226,,,,0.01899235,0.98100765,,,7,6.867053548,0.059631304
164,a,a,1160,9,2005,1,13,2010,"Jan,Apr,Jul,Oct",-0.559695637,,,,0.014771828,0.985228172,,,11,10.83750989,0.094109482
165,a,a,3720,4,2005,1,13,2010,"Jan,Apr,Jul,Oct",-0.216652351,,,,0.048536006,0.951463994,,,11,10.46610393,0.090884311
166,a,c,100,4,2014,1,31,2013,"Jan,Apr,Jul,Oct",-0.701736997,,,,0.000791348,0.999208652,,,2,1.998417304,0.017353619
167,a,a,140,4,2008,0,,,,-0.696376946,,,,0.001318913,0.998681087,,,8,7.989448694,0.069377826
168,a,a,12540,,2009,0,,,,0.96523897,,,,0.164864152,0.835135848,,,7,5.845950936,0.050764375
169,d,a,980,7,2014,1,18,2014,"Feb,May,Aug,Nov",-0.583815868,,,,0.012397784,0.987602216,,,2,1.975204432,0.017152046
170,a,a,1070,5,2015,1,14,2011,"Jan,Apr,Jul,Oct",-0.571755752,,,,0.013584806,0.986415194,,,1,0.986415194,0.008565715
171,a,a,2640,,2009,0,,,,-0.361373737,,,,0.034291744,0.965708256,,,7,6.759957795,0.058701319
172,a,a,110,,2009,1,40,2014,"Jan,Apr,Jul,Oct",-0.700396985,,,,0.000923239,0.999076761,,,7,6.993537325,0.060729649
173,a,a,350,12,2012,0,,,,-0.668236676,,,,0.004088631,0.995911369,,,4,3.983645476,0.034592708
174,a,a,13090,,2009,1,22,2012,"Jan,Apr,Jul,Oct",1.038939675,,,,0.172118175,0.827881825,,,7,5.795172778,0.050323433
175,c,a,4130,,2009,0,,,,-0.161711825,,,,0.053943551,0.946056449,,,7,6.622395146,0.057506769
176,a,a,3770,,2009,0,,,,-0.209952287,,,,0.049195463,0.950804537,,,7,6.655631759,0.057795385
177,a,a,1250,2,2004,1,5,2013,"Feb,May,Aug,Nov",-0.547635521,,,,0.01595885,0.98404115,,,12,11.8084938,0.102541197
178,d,a,1710,,2009,0,,,,-0.485994931,,,,0.022025851,0.977974149,,,7,6.845819045,0.059446911
179,a,c,480,,2009,0,,,,-0.65081651,,,,0.005803218,0.994196782,,,7,6.959377473,0.060433016
180,d,a,5800,9,2010,0,,,,0.062070319,,,,0.075969401,0.924030599,,,6,5.544183593,0.048143923
181,a,a,12610,3,2013,1,14,2011,"Jan,Apr,Jul,Oct",0.974619059,,,,0.165787391,0.834212609,,,3,2.502637826,0.021732109
182,d,c,1390,,2009,1,9,2011,"Mar,Jun,Sept,Dec",-0.528875342,,,,0.017805328,0.982194672,,,7,6.875362701,0.059703458
183,a,a,9670,,2009,0,,,,0.580655286,,,,0.127011343,0.872988657,,,7,6.110920601,0.053065287
184,d,c,3560,,2009,0,,,,-0.238092556,,,,0.046425745,0.953574255,,,7,6.675019784,0.057963744
185,d,c,1860,5,2015,0,,,,-0.465894738,,,,0.024004221,0.975995779,,,1,0.975995779,0.008475236
186,a,a,290,10,2011,1,40,2014,"Jan,Apr,Jul,Oct",-0.676276753,,,,0.003297283,0.996702717,,,5,4.983513585,0.043275244
187,a,c,19360,,2009,0,,,,1.879127723,,,,0.254814033,0.745185967,,,7,5.216301767,0.045296702
188,d,a,850,,2009,1,18,2011,"Feb,May,Aug,Nov",-0.601236035,,,,0.010683197,0.989316803,,,7,6.925217621,0.060136383
189,d,a,5760,7,2014,0,,,,0.056710267,,,,0.075441836,0.924558164,,,2,1.849116328,0.016057137
190,a,a,1470,12,2006,1,40,2014,"Jan,Apr,Jul,Oct",-0.518155239,,,,0.018860459,0.981139541,,,10,9.81139541,0.085199031
191,a,a,1100,8,2013,1,40,2014,"Jan,Apr,Jul,Oct",-0.567735714,,,,0.01398048,0.98601952,,,3,2.95805856,0.025686838
192,d,c,2770,3,2008,1,40,2014,"Jan,Apr,Jul,Oct",-0.34395357,,,,0.036006331,0.963993669,,,8,7.711949354,0.06696811
193,a,a,520,,2009,0,,,,-0.645456458,,,,0.006330783,0.993669217,,,7,6.955684516,0.060400947
194,d,c,16970,,2009,1,5,2013,"Feb,May,Aug,Nov",1.558864655,,,,0.223292007,0.776707993,,,7,5.436955948,0.047212793
195,a,c,220,,2009,0,,,,-0.685656843,,,,0.002374044,0.997625956,,,7,6.983381693,0.060641461
196,c,a,3850,11,2005,1,14,2011,"Jan,Apr,Jul,Oct",-0.199232184,,,,0.050250594,0.949749406,,,11,10.44724347,0.090720533
197,c,a,4210,3,2015,0,,,,-0.150991722,,,,0.054998681,0.945001319,,,1,0.945001319,0.00820609
198,a,a,290,9,2002,1,13,2010,"Jan,Apr,Jul,Oct",-0.676276753,,,,0.003297283,0.996702717,,,14,13.95383804,0.121170682
199,d,c,6360,12,2010,1,14,2012,"Mar,Jun,Sept,Dec",0.137111037,,,,0.083355315,0.916644685,,,6,5.499868109,0.047759102
200,a,a,1650,10,2000,0,,,,-0.494035008,,,,0.021234503,0.978765497,,,16,15.66024796,0.135988602
201,d,a,20260,,2009,1,18,2014,"Mar,Jun,Sept,Dec",1.999728878,,,,0.266684252,0.733315748,,,7,5.133210235,0.044575162
202,d,c,5140,5,2010,0,,,,-0.026370528,,,,0.067264574,0.932735426,,,6,5.596412556,0.048597463
203,c,c,490,11,2002,0,,,,-0.649476497,,,,0.005935109,0.994064891,,,14,13.91690847,0.120849997
204,a,a,5630,12,2002,1,40,2014,"Jan,Apr,Jul,Oct",0.0392901,,,,0.073727249,0.926272751,,,14,12.96781852,0.112608403
205,a,a,110,12,2007,0,,,,-0.700396985,,,,0.000923239,0.999076761,,,9,8.991690847,0.078080977
206,a,c,380,,2009,1,14,2012,"Jan,Apr,Jul,Oct",-0.664216638,,,,0.004484305,0.995515695,,,7,6.968609865,0.060513187
207,a,a,6870,,2009,0,,,,0.205451692,,,,0.090081773,0.909918227,,,7,6.369427592,0.055310079
208,c,a,300,4,2006,0,,,,-0.674936741,,,,0.003429174,0.996570826,,,10,9.965708256,0.086539034
209,a,c,11680,9,2011,1,31,2013,"Jan,Apr,Jul,Oct",0.849997866,,,,0.153521498,0.846478502,,,5,4.232392509,0.036752748
